permit_number,geocode,permit_issued_date,address,dwellings,construction_type,permit_type,description,city
2012-MSS-COM-00058,04220018203050000,2013-08-21,2630 CONNERY WAY,1,Commercial Construction,None,DISCOVERY ALLIANCE CHURCH LOT 5 AND 6A HELLGATE MEADOWS PH 1,Missoula
2012-MSS-COM-00058,04220018203060000,2013-08-21,2630 CONNERY WAY,1,Commercial Construction,None,DISCOVERY ALLIANCE CHURCH LOT 5 AND 6A HELLGATE MEADOWS PH 1,Missoula
2012-MSS-COM-00074,04219901101460000,2013-02-05,5075 EXPRESSWAY,1,Commercial Construction,None,LOT 1 COS 6274 STORAGE OFFICE,Missoula
2012-MSS-COM-00075,04219901101460000,2013-03-11,5075 EXPRESSWAY,1,Commercial Construction,None,LOT 1 COS 6274 STORAGE BLDG A,Missoula
2012-MSS-COM-00076,04219901101460000,2013-03-11,5075 EXPRESSWAY,1,Commercial Construction,None,LOT 1 COS 6274 STORAGE BLDG B,Missoula
2012-MSS-COM-00077,04219901101460000,2013-03-11,5075 EXPRESSWAY,1,Commercial Construction,None,LOT 1 COS 6274 STORAGE BLDG C,Missoula
2012-MSS-COM-00078,04219901101460000,2013-02-28,5075 EXPRESSWAY,1,Commercial Construction,None,LOT 1 COS 6274 STORAGE BLDG D,Missoula
2012-MSS-COM-00079,04219901101460000,2013-02-20,5075 EXPRESSWAY,1,Commercial Construction,None,LOT 1 COS 6274 STORAGE BLDG E,Missoula
2012-MSS-COM-00080,04219901101460000,2013-01-22,5075 EXPRESSWAY,1,Commercial Construction,None,LOT 1 COS 6274 STORAGE BLDG F,Missoula
2012-MSS-COM-00081,04219901101460000,2013-02-05,5075 EXPRESSWAY,1,Commercial Construction,None,LOT 1 COS 6274 STORAGE BLDG G,Missoula
2012-MSS-COM-00082,04219901101460000,2013-03-11,5075 EXPRESSWAY,1,Commercial Construction,None,LOT 1 COS 6274 STORAGE BLDG H,Missoula
2012-MSS-COM-00123,04220021340287100,2013-04-25,1335 DAKOTA ST,9,Commercial Construction,None,LOTS 18-19 COOKS ADDTN BLK 2,Missoula
2012-MSS-COM-00133,04220022228040000,2013-04-04,540 E BROADWAY,1,Commercial Construction,None,NOONS GASOLINE CANOPY,Missoula
2012-MSS-RES-00205,04219914109500000,2013-01-28,1678 SHINDIG DR,1,Residential Construction,None,LOT 25 THE VALLEY,Missoula
2012-MSS-RES-00262,04220007326060000,2013-03-11,3732 A ENGLAND BLVD,1,Residential Construction,None,LOT 503 PLEASANT VIEW HOMES 4 PH 3,Missoula
2012-MSS-RES-00265,04220007326060000,2013-03-11,3732 A ENGLAND BLVD,1,Residential Construction,None,LOT 503 PLEASANT VIEW HOMES 4 PH 3,Missoula
2012-MSS-RES-00266,04220007326050000,2013-03-11,3732 B ENGLAND BLVD,1,Residential Construction,None,LOT 502 PLEASANT VIEW HOMES 4 PH 3,Missoula
2012-MSS-RES-00267,04220007326050000,2013-03-11,3732 B ENGLAND BLVD,1,Residential Construction,None,LOT 502 PLEASANT VIEW HOMES 4 PH 3,Missoula
2012-MSS-RES-00358,04220020217340000,2013-01-18,875 RIVER PL,1,Residential Construction,None,LOT 5 RIVER PLACE,Missoula
2012-MSS-RES-00372,04220019409130000,2013-01-03,634 PRESTON ST,1,Residential Construction,None,,Missoula
2012-MSS-RES-00374,04220006108370000,2013-01-16,4239 HERMIONE LN,1,Residential Construction,None,,Missoula
2012-MSS-RES-00375,04220006108370000,2013-01-04,4239 HERMIONE LN,1,Residential Construction,None,,Missoula
2012-MSS-RES-00389,04220019117550000,2013-02-01,2732 JUNEAU CT,1,Residential Construction,None,LOT 28 MAPLE BROOK ESTATES,Missoula
2012-MSS-RES-00390,04220007326020000,2013-02-13,3760 A ENGLAND BLVD,1,Residential Construction,None,,Missoula
2012-MSS-RES-00391,04220007326020000,2013-02-13,3760 A ENGLAND BLVD,1,Residential Construction,None,,Missoula
2012-MSS-RES-00392,04220007326010000,2013-02-13,3760 B ENGLAND BLVD,1,Residential Construction,None,,Missoula
2012-MSS-RES-00393,04220007326010000,2013-02-13,3760 B ENGLAND BLVD,1,Residential Construction,None,,Missoula
2012-MSS-RES-00396,04220018206050000,2013-01-17,2914 DUBLIN ST,1,Residential Construction,None,LOT 124 HELLGATE MEADOWS,Missoula
2012-MSS-RES-00397,04220018206050000,2013-01-17,2914 DUBLIN ST,1,Residential Construction,None,LOT 124 HELLGATE MEADOWS,Missoula
2013-MSS-COM-00004,04220029465130000,2013-04-23,1721 RUSSELL ST,57,Commercial Construction,None,LOT 1B COS 5884,Missoula
2013-MSS-COM-00007,04220021340287200,2013-04-25,105 INEZ ST,3,Commercial Construction,None,LOTS 22-24 COOKS ADDITION BLK 2,Missoula
2013-MSS-COM-00013,04220022209067001,2013-02-26,201 E FRONT ST,1,Commercial Construction,None,MISSOULA PARKING COMMISSION,Missoula
2013-MSS-COM-00014,04220022209067001,2013-02-26,201 E FRONT ST,1,Commercial Construction,None,MISSOULA PARKING COMMISSION,Missoula
2013-MSS-COM-00018,04220029371190000,2013-08-08,2010 STRAND AVE,4,Commercial Construction,None,LOTS 9-12 SOUTHSIDE ADD BLK 6,Missoula
2013-MSS-COM-00027,04220008304120000,2013-03-19,3301 W BROADWAY,1,Commercial Construction,None,NORTHERN ENERGY,Missoula
2013-MSS-COM-00052,04220006101930000,2013-05-02,4987 POTTER PARK LP,4,Commercial Construction,None,LOT D9 WINDSOR PARK PH 4,Missoula
2013-MSS-COM-00058,04220029472900000,2013-04-24,1721 S 14TH ST W,4,Commercial Construction,None,,Missoula
2013-MSS-COM-00062,04220006101920000,2013-05-02,4979 POTTER PARK LP,4,Commercial Construction,None,"WINDSOR PARK PHASE IV, LOTD8",Missoula
2013-MSS-COM-00069,04220006101920000,2013-05-02,4979 POTTER PARK LP,4,Commercial Construction,None,,Missoula
2013-MSS-COM-00070,04220006101930000,2013-05-02,4987 POTTER PARK LP,4,Commercial Construction,None,,Missoula
2013-MSS-COM-00073,04220018202077701,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00073,04220018202077702,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00073,04220018202077703,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00073,04220018202077704,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00073,04220018202077705,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00073,04220018202077706,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00073,04220018202077707,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00073,04220018202077708,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00073,04220018202077709,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00073,04220018202077710,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00073,04220018202077711,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00073,04220018202077712,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00073,04220018202077713,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00073,04220018202077714,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00073,04220018202077715,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00073,04220018202077716,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00073,04220018202077717,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00073,04220018202077718,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00073,04220018202077719,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00073,04220018202077720,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00073,04220018202077721,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00073,04220018202077722,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00073,04220018202077723,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00073,04220018202077724,2013-05-23,4100 MULLAN RD,18,Commercial Construction,None,HALLING FARMS LOT 6,Missoula
2013-MSS-COM-00074,04220031401010000,2013-07-10,3975 BROOKS ST,1,Commercial Construction,None,LITHIA TOYOTA OF MISSOULA,Missoula
2013-MSS-COM-00076,04220008202110000,2013-09-20,3055 STOCKYARD RD,90,Commercial Construction,BNRHM,TOWNE PLACE SUITES  LOT 6B NORTH RESERVE BUSINES CENTER,Missoula
2013-MSS-COM-00087,04220020424150000,2013-06-14,255 RUSSELL ST,1,Commercial Construction,None,LIFESTYLE FITNESS - LOT 2A GARDEN DISTRICT HOMES,Missoula
