permit_number,geocode,permit_issued_date,address,dwellings,permit_type,description,city
MB140007485,04219911302290000,2015-01-22,2421 PEREGRINE LOOP,1,New Construction,NEW SFR W/ATT GARAGE,MISSOULA
MB140007491,04219934402100000,2015-01-23,7960 DOUBLE TREE LN,1,New Construction,NEW SFR W/ATT GARAGE,MISSOULA
MB150007611,04219909301150000,2015-02-13,10280 ROYAL COACHMAN DR,1,New Construction,New 2558 sq ft single family residence with 640 sq ft garage,MISSOULA
MB150007611,04219909301150000,2015-02-13,10280 ROYAL COACHMAN DR,1,New Construction,New 2558 sq ft single family residence with 640 sq ft garage,MISSOULA
MB150007541,04232521203190000,2015-03-04,9596 MAHLUM LN,1,New Construction,NEW SFR W/ATT GARAGE,MISSOULA
MB150007816,04220024122160000,2015-03-04,537 MINNESOTA AVE,1,New Construction,NEW SFR,MISSOULA
MB150007730,04232521203140000,2015-03-05,9725 MAHLUM LN,1,New Construction,NEW SFR W/ATT GARAGE ,MISSOULA
MB150007592,04219927103250000,2015-03-18,8082 GREBE CT,1,New Construction,NEW SFR W/ATT GARAGE  SFR 3268 SF - DECK 90 SF - ATT GARAGE 912 SF,MISSOULA
MB150007920,04242725103020000,2015-03-27,16605 & 16609 MELLIE CT-DUPLEX,2,New Construction,This project is to build 2 duplexes using the same plan for,HUSON
MB150007921,04242725103020000,2015-03-27,16604 & 16608 MELLIE CT-DUPLEX,2,New Construction,This project is to build 2 duplexes using the same plan for both duplexes,HUSON
MB150007934,04220135402190000,2015-03-30,11521 CATTAIL WAY,1,New Construction,NEW SFR W/ATT GARAGE,MISSOULA
MB140006285,04042541331013500,2015-04-01,962 EMERALD LAKE LOOP,1,New Construction,Single Family Residential Home with attached garage within the pre-defined building envelope ,BONNER
MB140006285,04042541331013500,2015-04-01,962 EMERALD LAKE LOOP,1,New Construction,Single Family Residential Home with attached garage within the pre-defined building envelope ,BONNER
MB150008010,04220019309080000,2015-04-10,3211 S 3RD ST W,1,New Construction,NEW SFR,MISSOULA
MB150008096,04220030410900000,2015-04-15,1881 CORA CT,1,New Construction,NEW SFR W/ATT GARAGE,MISSOULA
MB140007502,04219921301010000,2015-04-21,1106 BIG FLAT RD,1,New Construction,NEW SFR W/ATT GARAGE,MISSOULA
MB150008174,04219915404160000,2015-04-24,1124 COUNCIL WAY,1,New Construction,NEW SFR W/ATT GARAGE,MISSOULA
MB150008100,04219908104070000,2015-04-24,11855 JOHANNA DR,1,New Construction,Construction of a new 2000 sq foot SFR ,MISSOULA
MB150008295,04232521203160000,2015-04-28,9682 MAHLUM LN,1,New Construction,NEW SF RES/ATT GARAGE,MISSOULA
MB150008362,04242721301030000,2015-05-06,17467 W NINEMILE RD,1,New Construction,new sfr,HUSON
MB150008338,04220030410940000,2015-05-07,1747 CORA CT,1,New Construction,NEW SF RES/,MISSOULA
MB150008295,04232521203160000,2015-05-08,9682 MAHLUM LN,1,New Construction,NEW SF RES/ATT GARAGE,MISSOULA
MB150008125,04197633301070000,2015-05-15,828 LUND DR - HOUSE,1,New Construction,NEW SF RES/ATTACHED GARAGE,MISSOULA
MB150008242,04232516201050000,2015-05-15,11140 TOOKIE TREK ,1,New Construction,NEW SFR W/ATT GARAGE,MISSOULA
MB150008294,04220318201070000,2015-06-10,1705 BEAR ACRES RD,1,New Construction,NEW SF RES/ATT GARAGE,BONNER
MB150008205,04110006101410000,2015-06-18,4975 STOREHOUSE WAY,1,New Construction,MINI STORAGE 3000 SF,MISSOULA
MB150008638,04219905103100000,2015-06-19, 11130 BRUIN LN,1,New Construction,NEW SFR W/ATT GARAGE,MISSOULA
MB150008734,04232636302030000,2015-06-23,1723 MADERA DR,1,New Construction,NEW SFR W/ATT GARAGE,MISSOULA
MB150008698,04219907103010000,2015-07-02,12124 FLORA DR,1,New Construction,NEW SFR W/ATT GARAGE,MISSOULA
MB150009012,04232516203120000,2015-07-06,10716 FIRE BUCKET LOOP,1,New Construction,NEW SFR W/ATT GARAGE,MISSOULA
MB150008967,04209213209400000,2015-07-07,7128 AVERY LN,1,New Construction,"Single Family Residence, Full basement & Attached Garage",MISSOULA
MB150008751,04220321301110000,2015-07-08,620 DEAD END RD,1,New Construction,NEW SFR,BONNER
MB150008698,04219907103010000,2015-07-09,12124 FLORA DR,1,New Construction,NEW SFR W/ATT GARAGE,MISSOULA
MB150009028,04220116312090000,2015-07-14,8330 ZAUGG DR,1,New Construction,new sfr,MISSOULA
MB150009039,04219925303150000,2015-07-17,1892 DAIRY VIEW CT,1,New Construction,NEW SF RES/ATT GARAGE,MISSOULA
MB150008966,04209213209400000,2015-07-20,7182 AVERY LN,1,New Construction,"Single Family Residence, Full Basement & Attached Garage",MISSOULA
MB150009145,04220428401190000,2015-07-23,35800 CAT FACE RD,1,New Construction,NEW SFR,BONNER
MB150009144,04219905103230000,2015-07-24,10825 BRUIN LN,1,New Construction,New single family residence,MISSOULA
MB150008929,04232536202100000,2015-07-24,5995 THORNBIRD LN,1,New Construction,NEW SFR,MISSOULA
MB150009365,04219905103160000,2015-08-05,10992 BRUIN LN,1,New Construction,NEW SFR W/ATT GARAGE ,MISSOULA
MB150009365,04219905103160000,2015-08-05,10992 BRUIN LN,1,New Construction,NEW SFR W/ATT GARAGE ,MISSOULA
MB150009000,04209213209360000,2015-08-06,7164 AVERY LN,1,New Construction,Single family residence in the 14th supplement of the Linda Vista development. ,MISSOULA
MB150009273,04209213209340000,2015-08-06,7152 AVERY LN,1,New Construction,Single family residence on Lot 34 of the Linda Vista 14th supplement development ,MISSOULA
MB150008442,04219925203110000,2015-08-06,3833 S 7TH ST W UNIT 1 & 2,2,New Construction,DUPLEX,MISSOULA
MB150009000,04209213209360000,2015-08-06,7164 AVERY LN,1,New Construction,Single family residence in the 14th supplement of the Linda Vista development. ,MISSOULA
MB150009187,04220428401230000,2015-08-07,35950 CAT FACE RD,1,New Construction,NEW SF RES LOG CABIN/,BONNER
MB150009187,04220428401230000,2015-08-07,35950 CAT FACE RD,1,New Construction,NEW SF RES LOG CABIN/,BONNER
MB150009492,04232519101300000,2015-08-13,9543 PLATINUM CT,1,New Construction,NEW SF RES/ATT GARAGE,MISSOULA
MB150009547,04252827101140000,2015-08-17,25650 NINEMILE RD,1,New Construction,NEW SFR,HUSON
MB150009234,04220018201220000,2015-08-26,4732 LOIS LANE,1,New Construction,New construction of a single family residence w/ attached garage,MISSOULA
MB150009097,04219928301030000,2015-09-02,10450 UPLAND TRAIL,1,New Construction,NEW SFR W/ATTACHED GARAGE APPROX 4600,MISSOULA
MB150009097,04219928301030000,2015-09-02,10450 UPLAND TRAIL,1,New Construction,NEW SFR W/ATTACHED GARAGE APPROX 4600,MISSOULA
MB15020137,04220024116100000,2015-09-02,343 SPEEDWAY AVE,1,New Construction,NEW SFR,MISSOULA
MB15020405,04209225103020000,2015-09-22,10133 ORAL ZUMWALT WAY,1,New Construction,NEW SFR WITH ATTACHED GARAGE,MISSOULA
MB150008860,04220024207140000,2015-10-01,270 BROKEN TOP,???,New Construction,New Multifamily.  State approach permits issued.,MISSOULA
