address,subtype,BASE,dwellings,sqft,duac
950 MOUNT AVE,BNMRB,RM1-35,13,0.1789,72.0
432 W SPRUCE ST,BNCON,B2-2,4,0.0757,52.0
1137 MONTANA ST,BNMRB,MILL SITE S.D.,26,0.5632,46.0
1725 S 3RD ST W,BNMRB,B2-2,6,0.135,44.0
555 S CATLIN ST,BNMRB,RM1-45,60,1.3756,43.0
2005 W CENTRAL AVE,BNMRB,C2-4,18,0.4137,43.0
1725 S 3RD ST W,BNMRB,B2-2,6,0.1384,43.0
1745 S 3RD ST W,BNMRA,B2-2,4,0.0995,40.0
1755 S 3RD ST W,BNMRA,B2-2,4,0.1007,39.0
1936 S 5TH ST W,BNMRA,RM1-45,4,0.1193,33.0
1840 S 5TH ST W,BNMRA,RM1-45,3,0.111,27.0
2885 LATIMER ST,BNMRB,M1R-2,21,0.9983,21.0
2875 LATIMER ST,BNMRB,M1R-2,18,0.9983,18.0
4100 MULLAN RD,BNMRB,B2-2,24,1.7668,13.0
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,2.1779,9.0
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,2.1779,7.0
3850 RESERVE ST UNIT 130,BNCSC,C1-4,4,0.9676,4.0
