Address,DevType,Zoning,Dwellings,SqFt,DUAC
950 MOUNT AVE,BNMRB,RM1-35,13,0.162682692702,79.0
950 MOUNT AVE,BNMRB,RM1-35,13,0.162682692702,79.0
1137 MONTANA ST,BNMRB,MILL SITE S.D.,26,0.563202004692,46.0
555 S CATLIN ST,BNMRB,C1-4,60,1.37555238257,43.0
2005 W CENTRAL AVE,BNMRB,C2-4,18,0.413740413583,43.0
1936 S 5TH ST W,BNMRA,RM1-45,4,0.11926658611,33.0
432 W SPRUCE ST,BNCON,B2-2,4,0.163833093568,24.0
1840 S 5TH ST W,BNMRA,RM1-45,3,0.127539452838,23.0
2875 LATIMER ST,BNMRB,M1R-2,18,0.998335833781,18.0
2885 LATIMER ST,BNMRB,M1R-2,21,1.49808129764,14.0
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,2.73360176932,7.0
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,2.73360176932,7.0
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,2.73360176932,7.0
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,2.73360176932,7.0
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,2.73360176932,7.0
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,2.73360176932,7.0
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,2.73360176932,7.0
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,2.73360176932,7.0
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,2.73360176932,7.0
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,2.73360176932,7.0
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,2.73360176932,7.0
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,2.73360176932,7.0
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,2.73360176932,7.0
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,2.73360176932,7.0
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,2.73360176932,7.0
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,2.73360176932,7.0
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,2.73360176932,7.0
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,2.73360176932,7.0
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,2.73360176932,7.0
875 WYOMING ST,BNMRB,MILL SITE S.D.,21,2.73360176932,7.0
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,2.73360176932,6.0
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,2.73360176932,6.0
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,2.73360176932,6.0
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,2.73360176932,6.0
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,2.73360176932,6.0
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,2.73360176932,6.0
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,2.73360176932,6.0
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,2.73360176932,6.0
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,2.73360176932,6.0
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,2.73360176932,6.0
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,2.73360176932,6.0
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,2.73360176932,6.0
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,2.73360176932,6.0
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,2.73360176932,6.0
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,2.73360176932,6.0
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,2.73360176932,6.0
835 WYOMING ST,BNMRB,MILL SITE S.D.,17,2.73360176932,6.0
