geocode,dwellings,zoning,geometry,acres,duac
04220018203120000,36,HELLGATE SPECIAL DISTRICT,,0.2605489878613066,138.0
04220029116030000,63,M1R-2,,0.5409963188241317,116.0
04220032277480000,8,C1-4,,0.07304281510754446,109.0
04220032277480000,8,C1-4,,0.07295510395554064,109.0
04220029188100000,6,RM1-45,,0.07402275516714432,81.0
04220029188100000,6,RM1-45,,0.0750412665649844,79.0
04220016108270000,8,RM1-45,,0.10644232465238496,75.0
04220018203010000,39,HELLGATE SPECIAL DISTRICT,,0.7252317865364868,53.0
04220032402230000,22,RM1-35,,0.4136840982707312,53.0
04220016107290000,4,RM1-45,,0.0966966972030976,41.0
04220017213070000,36,M1R-2,,0.8794234409625593,40.0
04220015322030000,9,RM1-45,,0.22285334733526277,40.0
04220021346120000,3,M1R-2,,0.0756966440124778,39.0
04220028313110000,6,RM1-45,,0.1664777372099892,36.0
04220028313020000,3,RM1-35,,0.08251398102737673,36.0
04220028313150000,3,RM1-35,,0.08254682460918063,36.0
04220028313160000,3,RM1-35,,0.08254303236526384,36.0
04220006101860000,8,WINDSOR PARK SPECIAL DISTRICT,,0.2930349695141014,27.0
04220006101870000,8,WINDSOR PARK SPECIAL DISTRICT,,0.28675248957641486,27.0
04220021340300000,8,M1R-2,,0.29351591760760504,27.0
04220006101900000,8,WINDSOR PARK SPECIAL DISTRICT,,0.3076038584423788,26.0
04220006101880000,8,WINDSOR PARK SPECIAL DISTRICT,,0.30970259855988264,25.0
04220006101890000,8,WINDSOR PARK SPECIAL DISTRICT,,0.32702285301584433,24.0
04220006108240000,2,WINDSOR PARK SPECIAL DISTRICT,,0.0865153253617436,23.0
04220015201060000,14,RM1-45,,0.6119512261973098,22.0
04220016108250000,8,RM1-45,,0.41221191114276773,19.0
04220016108270000,8,RM1-45,,0.41221191114276773,19.0
04220029387190000,4,RM2.7,,0.22931955155425163,17.0
04220020316125002,6,SD2,,0.3898463240499048,15.0
04220020316130000,4,SD2,,0.2745200793123198,14.0
04220020316150000,4,SD2,,0.30279666810146494,13.0
04220020316170000,4,SD2,,0.30279666810146494,13.0
04220029368100000,2,RM2.7,,0.21494431955043009,9.0
04209307202240000,2,R8,,0.25223877340940554,7.0
04220020426137005,8,RM2.7,,3.3631164341015665,2.0
